elapsed seconds,fps,loading,averaged,commit sha
0.010,0.00,true,false,d3994fb559
1.038,69.88,true,false,d3994fb559
2.340,69.88,true,false,d3994fb559
3.374,97.73,true,false,d3994fb559
4.400,176.83,true,false,d3994fb559
5.412,171.55,false,true,d3994fb559
6.426,194.34,false,true,d3994fb559
7.444,221.07,false,true,d3994fb559
8.458,228.70,false,true,d3994fb559
9.474,153.94,false,true,d3994fb559
10.488,237.95,false,true,d3994fb559
11.505,364.45,false,true,d3994fb559
12.512,306.97,false,true,d3994fb559
13.520,315.00,false,true,d3994fb559
14.526,437.08,false,true,d3994fb559
