elapsed seconds,fps,loading,averaged,commit sha
0.038,0.00,true,false,caf99f9cb6
1.074,50.38,true,false,caf99f9cb6
2.455,50.38,true,false,caf99f9cb6
3.475,108.34,true,false,caf99f9cb6
4.494,234.84,true,false,caf99f9cb6
5.508,283.86,false,true,caf99f9cb6
6.526,278.94,false,true,caf99f9cb6
7.537,341.76,false,true,caf99f9cb6
8.551,257.41,false,true,caf99f9cb6
9.564,205.47,false,true,caf99f9cb6
10.576,243.93,false,true,caf99f9cb6
11.592,331.83,false,true,caf99f9cb6
12.605,314.91,false,true,caf99f9cb6
13.614,280.92,false,true,caf99f9cb6
14.630,343.31,false,true,caf99f9cb6
