elapsed seconds,fps,loading,averaged,commit sha
0.013,0.00,true,false,fad067ede9
1.031,50.82,true,false,fad067ede9
2.460,50.82,true,false,fad067ede9
3.491,105.79,true,false,fad067ede9
4.506,176.51,true,false,fad067ede9
5.524,207.92,false,true,fad067ede9
6.537,183.67,false,true,fad067ede9
7.550,303.45,false,true,fad067ede9
8.562,384.50,false,true,fad067ede9
9.572,300.64,false,true,fad067ede9
10.579,367.60,false,true,fad067ede9
11.585,416.58,false,true,fad067ede9
12.595,348.69,false,true,fad067ede9
13.602,320.00,false,true,fad067ede9
14.612,419.58,false,true,fad067ede9
