elapsed seconds,fps,loading,averaged,commit sha
0.029,0.00,true,false,07ab9870f1
1.066,34.12,true,false,07ab9870f1
2.272,34.12,true,false,07ab9870f1
3.325,140.72,true,false,07ab9870f1
4.373,307.86,false,true,07ab9870f1
5.391,317.62,false,true,07ab9870f1
6.400,302.21,false,true,07ab9870f1
7.417,368.52,false,true,07ab9870f1
8.428,362.06,false,true,07ab9870f1
9.443,309.75,false,true,07ab9870f1
10.455,332.93,false,true,07ab9870f1
11.467,375.62,false,true,07ab9870f1
12.483,325.00,false,true,07ab9870f1
13.490,250.97,false,true,07ab9870f1
