elapsed seconds,fps,loading,averaged,commit sha
0.034,0.00,true,false,75b1bdfeed
1.084,51.57,true,false,75b1bdfeed
2.464,51.57,true,false,75b1bdfeed
3.576,105.99,true,false,75b1bdfeed
4.598,141.59,true,false,75b1bdfeed
5.616,173.64,false,true,75b1bdfeed
6.627,210.87,false,true,75b1bdfeed
7.671,208.73,false,true,75b1bdfeed
8.688,219.91,false,true,75b1bdfeed
9.718,192.81,false,true,75b1bdfeed
10.759,240.87,false,true,75b1bdfeed
11.765,397.00,false,true,75b1bdfeed
12.774,345.86,false,true,75b1bdfeed
13.780,316.90,false,true,75b1bdfeed
14.786,420.50,false,true,75b1bdfeed
