elapsed seconds,fps,loading,averaged,commit sha
0.013,0.00,true,false,551cb99351
1.058,38.71,true,false,551cb99351
2.503,38.71,true,false,551cb99351
3.537,109.85,true,false,551cb99351
4.552,213.98,true,false,551cb99351
5.565,273.84,false,true,551cb99351
6.589,262.82,false,true,551cb99351
7.626,246.67,false,true,551cb99351
8.637,293.06,false,true,551cb99351
9.657,269.92,false,true,551cb99351
10.670,259.43,false,true,551cb99351
11.693,223.66,false,true,551cb99351
12.718,216.76,false,true,551cb99351
13.736,259.71,false,true,551cb99351
14.747,373.22,false,true,551cb99351
