elapsed seconds,fps,loading,averaged,commit sha
0.021,0.00,true,false,3bbc4aa295
1.041,47.95,true,false,3bbc4aa295
2.221,47.95,true,false,3bbc4aa295
3.285,124.37,true,false,3bbc4aa295
4.302,292.50,false,true,3bbc4aa295
5.314,324.81,false,true,3bbc4aa295
6.328,298.17,false,true,3bbc4aa295
7.342,289.10,false,true,3bbc4aa295
8.363,229.02,false,true,3bbc4aa295
9.381,268.68,false,true,3bbc4aa295
10.394,423.66,false,true,3bbc4aa295
11.400,495.50,false,true,3bbc4aa295
12.414,400.60,false,true,3bbc4aa295
13.422,348.83,false,true,3bbc4aa295
