elapsed seconds,fps,loading,averaged,commit sha
0.011,0.00,true,false,70e26e6897
1.034,36.89,true,false,70e26e6897
2.434,36.89,true,false,70e26e6897
3.455,131.68,true,false,70e26e6897
4.468,234.72,true,false,70e26e6897
5.500,288.54,false,true,70e26e6897
6.517,205.38,false,true,70e26e6897
7.531,234.00,false,true,70e26e6897
8.547,232.23,false,true,70e26e6897
9.562,197.74,false,true,70e26e6897
10.583,216.63,false,true,70e26e6897
11.637,260.79,false,true,70e26e6897
12.658,222.62,false,true,70e26e6897
13.675,239.69,false,true,70e26e6897
14.689,357.86,false,true,70e26e6897
