elapsed seconds,fps,loading,averaged,commit sha
0.041,0.00,true,false,05ea81187f
1.072,39.71,true,false,05ea81187f
2.472,39.71,true,false,05ea81187f
3.509,101.98,true,false,05ea81187f
4.523,153.63,true,false,05ea81187f
5.536,195.53,false,true,05ea81187f
6.552,206.22,false,true,05ea81187f
7.564,323.39,false,true,05ea81187f
8.572,406.15,false,true,05ea81187f
9.581,310.97,false,true,05ea81187f
10.590,391.00,false,true,05ea81187f
11.598,430.53,false,true,05ea81187f
12.610,345.96,false,true,05ea81187f
13.621,317.33,false,true,05ea81187f
14.635,427.23,false,true,05ea81187f
