elapsed seconds,fps,loading,averaged,commit sha
0.010,0.00,true,false,799d0c405e
1.030,60.87,true,false,799d0c405e
2.527,60.87,true,false,799d0c405e
3.566,75.63,true,false,799d0c405e
4.596,159.44,true,false,799d0c405e
5.612,167.31,false,true,799d0c405e
6.624,197.41,false,true,799d0c405e
7.643,230.47,false,true,799d0c405e
8.656,233.32,false,true,799d0c405e
9.666,260.25,false,true,799d0c405e
10.674,324.16,false,true,799d0c405e
11.682,366.16,false,true,799d0c405e
12.690,350.47,false,true,799d0c405e
13.700,341.79,false,true,799d0c405e
14.705,444.91,false,true,799d0c405e
