elapsed seconds,fps,loading,averaged
0.007,0.00,true,false
1.043,53.97,true,false
3.287,132.36,true,false
4.327,158.71,true,false
5.342,32.68,true,false
6.380,40.43,true,false
7.420,61.33,true,false
8.442,77.96,false,true
9.471,79.94,false,true
10.491,77.86,false,true
11.515,83.41,false,true
12.536,84.80,false,true
13.580,90.33,false,true
14.601,84.54,false,true
15.618,104.57,false,true
16.634,110.93,false,true
17.656,106.52,false,true
