elapsed seconds,fps,loading,averaged,commit sha
0.007,0.00,true,false,8dd67c2f87
1.054,6.93,true,false,8dd67c2f87
2.315,89.58,true,false,8dd67c2f87
3.403,89.58,true,false,8dd67c2f87
4.515,57.88,true,false,8dd67c2f87
5.570,29.80,true,false,8dd67c2f87
6.576,146.91,false,true,8dd67c2f87
7.593,160.66,false,true,8dd67c2f87
8.609,137.70,false,true,8dd67c2f87
9.625,126.90,false,true,8dd67c2f87
10.638,160.79,false,true,8dd67c2f87
11.650,152.60,false,true,8dd67c2f87
12.662,144.68,false,true,8dd67c2f87
13.679,168.28,false,true,8dd67c2f87
14.694,167.45,false,true,8dd67c2f87
15.713,142.87,false,true,8dd67c2f87
