elapsed seconds,fps,loading,averaged,commit sha
0.014,0.00,true,false,48559197ef
1.026,56.84,true,false,48559197ef
2.349,56.84,true,false,48559197ef
3.377,116.14,true,false,48559197ef
4.397,234.69,true,false,48559197ef
5.407,263.71,false,true,48559197ef
6.421,275.17,false,true,48559197ef
7.433,214.64,false,true,48559197ef
8.448,238.88,false,true,48559197ef
9.473,239.26,false,true,48559197ef
10.483,228.84,false,true,48559197ef
11.493,343.62,false,true,48559197ef
12.505,297.90,false,true,48559197ef
13.515,270.51,false,true,48559197ef
14.528,395.88,false,true,48559197ef
