elapsed seconds,fps,loading,averaged,commit sha
0.013,0.00,true,false,efd0ea3f36
1.103,6.59,true,false,efd0ea3f36
2.127,78.51,true,false,efd0ea3f36
3.595,78.51,true,false,efd0ea3f36
4.619,47.74,true,false,efd0ea3f36
5.651,37.81,true,false,efd0ea3f36
6.675,119.80,false,true,efd0ea3f36
7.697,118.34,false,true,efd0ea3f36
8.717,110.94,false,true,efd0ea3f36
9.735,150.91,false,true,efd0ea3f36
10.748,175.11,false,true,efd0ea3f36
11.766,158.30,false,true,efd0ea3f36
12.786,149.78,false,true,efd0ea3f36
13.799,170.95,false,true,efd0ea3f36
14.813,166.87,false,true,efd0ea3f36
15.827,152.56,false,true,efd0ea3f36
