elapsed seconds,fps,loading,averaged,commit sha
0.013,0.00,true,false,3aa40912ad
1.025,66.85,true,false,3aa40912ad
2.361,66.85,true,false,3aa40912ad
3.385,114.67,true,false,3aa40912ad
4.406,249.65,true,false,3aa40912ad
5.418,309.88,false,true,3aa40912ad
6.424,265.65,false,true,3aa40912ad
7.431,335.30,false,true,3aa40912ad
8.442,343.59,false,true,3aa40912ad
9.454,287.97,false,true,3aa40912ad
10.462,300.70,false,true,3aa40912ad
11.469,406.39,false,true,3aa40912ad
12.475,371.44,false,true,3aa40912ad
13.483,296.35,false,true,3aa40912ad
14.491,379.54,false,true,3aa40912ad
