elapsed seconds,fps,loading,averaged,commit sha
0.040,0.00,true,false,4fef14181e
1.058,45.84,true,false,4fef14181e
2.467,45.84,true,false,4fef14181e
3.507,105.86,true,false,4fef14181e
4.535,232.91,true,false,4fef14181e
5.551,283.52,false,true,4fef14181e
6.563,231.63,false,true,4fef14181e
7.575,216.70,false,true,4fef14181e
8.593,233.42,false,true,4fef14181e
9.610,237.19,false,true,4fef14181e
10.623,323.42,false,true,4fef14181e
11.630,337.73,false,true,4fef14181e
12.647,288.76,false,true,4fef14181e
13.655,308.57,false,true,4fef14181e
14.662,422.00,false,true,4fef14181e
