elapsed seconds,fps,loading,averaged,commit sha
0.033,0.00,true,false,1c1ac0c434
1.058,0.00,true,false,1c1ac0c434
2.343,30.74,true,false,1c1ac0c434
3.365,117.61,true,false,1c1ac0c434
4.401,305.82,false,true,1c1ac0c434
5.417,309.23,false,true,1c1ac0c434
6.430,291.36,false,true,1c1ac0c434
7.442,463.07,false,true,1c1ac0c434
8.452,454.09,false,true,1c1ac0c434
9.461,330.14,false,true,1c1ac0c434
10.471,412.30,false,true,1c1ac0c434
11.483,467.16,false,true,1c1ac0c434
12.490,380.70,false,true,1c1ac0c434
13.499,342.49,false,true,1c1ac0c434
