elapsed seconds,fps,loading,averaged,commit sha
0.029,0.00,true,false,773b0a3634
1.042,59.90,true,false,773b0a3634
2.406,59.90,true,false,773b0a3634
3.439,70.30,true,false,773b0a3634
4.467,129.90,true,false,773b0a3634
5.480,185.96,false,true,773b0a3634
6.494,184.87,false,true,773b0a3634
7.516,240.80,false,true,773b0a3634
8.528,207.40,false,true,773b0a3634
9.540,200.34,false,true,773b0a3634
10.556,290.54,false,true,773b0a3634
11.568,346.62,false,true,773b0a3634
12.577,306.17,false,true,773b0a3634
13.584,325.58,false,true,773b0a3634
14.590,431.83,false,true,773b0a3634
