elapsed seconds,fps,loading,averaged,commit sha
0.038,0.00,true,false,2df90bc443
1.052,46.31,true,false,2df90bc443
2.439,46.31,true,false,2df90bc443
3.497,104.50,true,false,2df90bc443
4.509,244.85,true,false,2df90bc443
5.529,286.31,false,true,2df90bc443
6.538,275.70,false,true,2df90bc443
7.542,344.14,false,true,2df90bc443
8.549,367.82,false,true,2df90bc443
9.556,309.17,false,true,2df90bc443
10.565,388.41,false,true,2df90bc443
11.573,426.49,false,true,2df90bc443
12.582,351.65,false,true,2df90bc443
13.591,325.80,false,true,2df90bc443
14.595,437.52,false,true,2df90bc443
