elapsed seconds,fps,loading,averaged,commit sha
0.011,0.00,true,false,95dfd13dc6
1.028,51.83,true,false,95dfd13dc6
2.400,51.83,true,false,95dfd13dc6
3.433,110.91,true,false,95dfd13dc6
4.452,247.78,true,false,95dfd13dc6
5.462,299.73,false,true,95dfd13dc6
6.472,260.45,false,true,95dfd13dc6
7.483,327.48,false,true,95dfd13dc6
8.496,350.30,false,true,95dfd13dc6
9.504,291.48,false,true,95dfd13dc6
10.515,311.97,false,true,95dfd13dc6
11.520,413.59,false,true,95dfd13dc6
12.529,378.02,false,true,95dfd13dc6
13.538,303.39,false,true,95dfd13dc6
14.545,382.27,false,true,95dfd13dc6
