elapsed seconds,fps,loading,averaged,commit sha
0.018,0.00,true,false,557d254f4b
1.048,44.20,true,false,557d254f4b
2.504,44.20,true,false,557d254f4b
3.540,103.73,true,false,557d254f4b
4.553,215.70,true,false,557d254f4b
5.580,280.22,false,true,557d254f4b
6.600,278.50,false,true,557d254f4b
7.612,314.21,false,true,557d254f4b
8.626,276.25,false,true,557d254f4b
9.646,273.67,false,true,557d254f4b
10.657,320.90,false,true,557d254f4b
11.680,346.93,false,true,557d254f4b
12.694,300.70,false,true,557d254f4b
13.705,217.96,false,true,557d254f4b
14.743,256.08,false,true,557d254f4b
