elapsed seconds,fps,loading,averaged,commit sha
0.013,0.00,true,false,c9ef0ddb1e
1.038,44.57,true,false,c9ef0ddb1e
2.247,44.57,true,false,c9ef0ddb1e
3.304,131.36,true,false,c9ef0ddb1e
4.323,297.97,false,true,c9ef0ddb1e
5.343,304.73,false,true,c9ef0ddb1e
6.359,292.85,false,true,c9ef0ddb1e
7.376,364.24,false,true,c9ef0ddb1e
8.394,357.46,false,true,c9ef0ddb1e
9.405,305.69,false,true,c9ef0ddb1e
10.417,419.87,false,true,c9ef0ddb1e
11.423,485.56,false,true,c9ef0ddb1e
12.428,395.05,false,true,c9ef0ddb1e
13.436,344.93,false,true,c9ef0ddb1e
