elapsed seconds,fps,loading,averaged,commit sha
0.033,0.00,true,false,97160f8cf3
1.053,48.54,true,false,97160f8cf3
2.402,48.54,true,false,97160f8cf3
3.429,47.00,true,false,97160f8cf3
4.476,118.93,true,false,97160f8cf3
5.494,164.62,false,true,97160f8cf3
6.511,176.61,false,true,97160f8cf3
7.537,221.31,false,true,97160f8cf3
8.560,206.38,false,true,97160f8cf3
9.570,189.60,false,true,97160f8cf3
10.580,294.09,false,true,97160f8cf3
11.598,353.43,false,true,97160f8cf3
12.610,312.94,false,true,97160f8cf3
13.620,314.97,false,true,97160f8cf3
14.634,416.00,false,true,97160f8cf3
