elapsed seconds,fps,loading,averaged,commit sha
0.065,0.00,true,false,3c7313f148
1.095,38.73,true,false,3c7313f148
2.332,38.73,true,false,3c7313f148
3.383,123.79,true,false,3c7313f148
4.408,289.57,false,true,3c7313f148
5.433,312.16,false,true,3c7313f148
6.448,300.40,false,true,3c7313f148
7.462,423.94,false,true,3c7313f148
8.471,392.88,false,true,3c7313f148
9.480,292.27,false,true,3c7313f148
10.491,347.69,false,true,3c7313f148
11.498,468.91,false,true,3c7313f148
12.508,389.00,false,true,3c7313f148
13.515,344.72,false,true,3c7313f148
