elapsed seconds,fps,loading,averaged
0.004,0.00,true,false
1.016,64.95,true,false
3.251,133.62,true,false
4.301,143.68,true,false
5.323,39.64,true,false
6.349,40.30,true,false
7.370,64.86,true,false
8.386,101.94,false,true
9.406,108.58,false,true
10.429,103.98,false,true
11.448,102.58,false,true
12.460,112.65,false,true
13.478,113.66,false,true
14.506,102.99,false,true
15.521,105.81,false,true
16.542,108.55,false,true
17.564,103.73,false,true
