elapsed seconds,fps,loading,averaged,commit sha
0.040,0.00,true,false,974e1ab6bb
1.061,40.98,true,false,974e1ab6bb
2.431,40.98,true,false,974e1ab6bb
3.453,125.97,true,false,974e1ab6bb
4.466,264.95,true,false,974e1ab6bb
5.486,266.04,false,true,974e1ab6bb
6.498,268.66,false,true,974e1ab6bb
7.515,302.82,false,true,974e1ab6bb
8.534,212.47,false,true,974e1ab6bb
9.552,198.94,false,true,974e1ab6bb
10.573,226.98,false,true,974e1ab6bb
11.583,226.84,false,true,974e1ab6bb
12.597,288.88,false,true,974e1ab6bb
13.606,269.65,false,true,974e1ab6bb
14.612,334.97,false,true,974e1ab6bb
