elapsed seconds,fps,loading,averaged,commit sha
0.037,0.00,true,false,23008e24a7
1.055,57.86,true,false,23008e24a7
2.487,57.86,true,false,23008e24a7
3.537,100.91,true,false,23008e24a7
4.556,233.72,true,false,23008e24a7
5.567,263.76,false,true,23008e24a7
6.581,279.33,false,true,23008e24a7
7.594,337.33,false,true,23008e24a7
8.612,321.20,false,true,23008e24a7
9.622,285.97,false,true,23008e24a7
10.631,375.29,false,true,23008e24a7
11.645,424.49,false,true,23008e24a7
12.653,343.01,false,true,23008e24a7
13.660,323.00,false,true,23008e24a7
14.666,419.62,false,true,23008e24a7
