elapsed seconds,fps,loading,averaged,commit sha
0.034,0.00,true,false,c79bf6cb81
1.061,43.92,true,false,c79bf6cb81
2.459,43.92,true,false,c79bf6cb81
3.484,104.55,true,false,c79bf6cb81
4.507,196.78,true,false,c79bf6cb81
5.519,196.22,false,true,c79bf6cb81
6.533,166.20,false,true,c79bf6cb81
7.551,205.84,false,true,c79bf6cb81
8.565,223.99,false,true,c79bf6cb81
9.576,264.18,false,true,c79bf6cb81
10.588,329.74,false,true,c79bf6cb81
11.602,339.73,false,true,c79bf6cb81
12.613,302.82,false,true,c79bf6cb81
13.624,287.00,false,true,c79bf6cb81
14.634,385.54,false,true,c79bf6cb81
