elapsed seconds,fps,loading,averaged,commit sha
0.011,0.00,true,false,f31ece7774
1.029,55.38,true,false,f31ece7774
2.400,55.38,true,false,f31ece7774
3.430,104.83,true,false,f31ece7774
4.450,223.87,true,false,f31ece7774
5.461,197.93,false,true,f31ece7774
6.474,204.63,false,true,f31ece7774
7.491,224.30,false,true,f31ece7774
8.503,216.63,false,true,f31ece7774
9.529,262.00,false,true,f31ece7774
10.540,322.03,false,true,f31ece7774
11.547,347.55,false,true,f31ece7774
12.555,317.75,false,true,f31ece7774
13.561,293.74,false,true,f31ece7774
14.566,339.56,false,true,f31ece7774
