elapsed seconds,fps,loading,averaged,commit sha
0.039,0.00,true,false,08cf4fb251
1.055,62.90,true,false,08cf4fb251
2.371,62.90,true,false,08cf4fb251
3.393,119.59,true,false,08cf4fb251
4.407,197.25,true,false,08cf4fb251
5.421,177.95,false,true,08cf4fb251
6.437,198.42,false,true,08cf4fb251
7.453,236.01,false,true,08cf4fb251
8.472,229.38,false,true,08cf4fb251
9.487,201.40,false,true,08cf4fb251
10.502,219.15,false,true,08cf4fb251
11.518,224.98,false,true,08cf4fb251
12.529,267.31,false,true,08cf4fb251
13.537,298.37,false,true,08cf4fb251
14.544,431.48,false,true,08cf4fb251
