elapsed seconds,fps,loading,averaged,commit sha
0.022,0.00,true,false,ac549a798d
1.110,0.00,true,false,ac549a798d
2.556,32.41,true,false,ac549a798d
3.585,120.66,true,false,ac549a798d
4.599,257.92,true,false,ac549a798d
5.619,287.60,false,true,ac549a798d
6.729,278.97,false,true,ac549a798d
7.738,310.78,false,true,ac549a798d
8.756,326.00,false,true,ac549a798d
9.780,270.00,false,true,ac549a798d
10.789,220.62,false,true,ac549a798d
11.802,244.51,false,true,ac549a798d
12.810,300.46,false,true,ac549a798d
13.829,286.00,false,true,ac549a798d
14.852,323.74,false,true,ac549a798d
