elapsed seconds,fps,loading,averaged,commit sha
0.037,0.00,true,false,55d9e6668e
1.053,39.03,true,false,55d9e6668e
2.499,39.03,true,false,55d9e6668e
3.524,85.34,true,false,55d9e6668e
4.550,144.73,true,false,55d9e6668e
5.567,186.72,false,true,55d9e6668e
6.586,190.24,false,true,55d9e6668e
7.596,228.09,false,true,55d9e6668e
8.608,282.29,false,true,55d9e6668e
9.619,269.00,false,true,55d9e6668e
10.628,340.80,false,true,55d9e6668e
11.638,418.25,false,true,55d9e6668e
12.646,345.00,false,true,55d9e6668e
13.652,323.94,false,true,55d9e6668e
14.658,426.87,false,true,55d9e6668e
