elapsed seconds,fps,loading,averaged
0.007,0.00,true,false
1.050,72.95,true,false
3.351,142.88,true,false
4.406,27.92,true,false
5.433,151.83,true,false
6.560,39.40,true,false
7.596,69.64,true,false
8.630,104.85,false,true
9.651,113.70,false,true
10.668,107.82,false,true
11.686,102.92,false,true
12.706,113.86,false,true
13.730,109.14,false,true
14.749,99.12,false,true
15.769,105.25,false,true
16.791,111.38,false,true
17.807,108.77,false,true
