elapsed seconds,fps,loading,averaged,commit sha
0.021,0.00,true,false,76ee0fcb19
1.061,44.02,true,false,76ee0fcb19
2.284,44.02,true,false,76ee0fcb19
3.330,127.10,true,false,76ee0fcb19
4.344,292.82,false,true,76ee0fcb19
5.364,318.11,false,true,76ee0fcb19
6.378,304.60,false,true,76ee0fcb19
7.392,377.00,false,true,76ee0fcb19
8.403,414.92,false,true,76ee0fcb19
9.417,333.33,false,true,76ee0fcb19
10.425,414.83,false,true,76ee0fcb19
11.434,483.81,false,true,76ee0fcb19
12.444,388.30,false,true,76ee0fcb19
13.459,348.97,false,true,76ee0fcb19
