elapsed seconds,fps,loading,averaged,commit sha
0.024,0.00,true,false,5796fb3acc
1.090,37.54,true,false,5796fb3acc
2.510,37.54,true,false,5796fb3acc
3.608,66.77,true,false,5796fb3acc
4.650,129.69,true,false,5796fb3acc
5.665,208.97,false,true,5796fb3acc
6.681,176.88,false,true,5796fb3acc
7.697,252.60,false,true,5796fb3acc
8.720,222.84,false,true,5796fb3acc
9.741,222.89,false,true,5796fb3acc
10.752,298.34,false,true,5796fb3acc
11.779,363.09,false,true,5796fb3acc
12.792,319.62,false,true,5796fb3acc
13.800,322.39,false,true,5796fb3acc
14.810,425.11,false,true,5796fb3acc
