elapsed seconds,fps,loading,averaged,commit sha
0.014,0.00,true,false,3f10a50822
1.038,0.00,true,false,3f10a50822
2.277,49.04,true,false,3f10a50822
3.353,105.67,true,false,3f10a50822
4.373,151.52,false,true,3f10a50822
5.393,223.42,false,true,3f10a50822
6.407,235.34,false,true,3f10a50822
7.421,239.14,false,true,3f10a50822
8.439,244.70,false,true,3f10a50822
9.454,194.88,false,true,3f10a50822
10.467,226.68,false,true,3f10a50822
11.490,304.79,false,true,3f10a50822
12.504,386.96,false,true,3f10a50822
13.516,350.58,false,true,3f10a50822
