elapsed seconds,fps,loading,averaged,commit sha
0.010,0.00,true,false,040663d06f
1.046,41.87,true,false,040663d06f
2.479,41.87,true,false,040663d06f
3.507,102.72,true,false,040663d06f
4.521,217.37,true,false,040663d06f
5.542,178.27,false,true,040663d06f
6.561,239.81,false,true,040663d06f
7.571,200.06,false,true,040663d06f
8.603,277.31,false,true,040663d06f
9.620,272.97,false,true,040663d06f
10.639,305.82,false,true,040663d06f
11.646,354.43,false,true,040663d06f
12.655,326.90,false,true,040663d06f
13.665,304.99,false,true,040663d06f
14.678,348.44,false,true,040663d06f
