elapsed seconds,fps,loading,averaged,commit sha
0.036,0.00,true,false,678d44aa67
1.057,51.99,true,false,678d44aa67
2.445,51.99,true,false,678d44aa67
3.471,124.56,true,false,678d44aa67
4.489,259.33,true,false,678d44aa67
5.499,287.43,false,true,678d44aa67
6.518,271.54,false,true,678d44aa67
7.533,244.61,false,true,678d44aa67
8.558,208.60,false,true,678d44aa67
9.571,218.93,false,true,678d44aa67
10.585,209.00,false,true,678d44aa67
11.593,248.33,false,true,678d44aa67
12.606,215.96,false,true,678d44aa67
13.625,193.57,false,true,678d44aa67
14.636,321.61,false,true,678d44aa67
