elapsed seconds,fps,loading,averaged,commit sha
0.021,0.00,true,false,fa41b6265d
1.038,57.51,true,false,fa41b6265d
2.510,57.51,true,false,fa41b6265d
3.562,66.98,true,false,fa41b6265d
4.588,136.75,true,false,fa41b6265d
5.604,187.06,false,true,fa41b6265d
6.619,235.53,false,true,fa41b6265d
7.636,219.34,false,true,fa41b6265d
8.646,230.36,false,true,fa41b6265d
9.654,227.39,false,true,fa41b6265d
10.666,317.43,false,true,fa41b6265d
11.674,352.44,false,true,fa41b6265d
12.682,312.91,false,true,fa41b6265d
13.690,309.32,false,true,fa41b6265d
14.700,397.80,false,true,fa41b6265d
