elapsed seconds,fps,loading,averaged,commit sha
0.036,0.00,true,false,3a5b72c0b5
1.054,46.89,true,false,3a5b72c0b5
2.440,46.89,true,false,3a5b72c0b5
3.473,108.58,true,false,3a5b72c0b5
4.505,219.52,true,false,3a5b72c0b5
5.519,207.40,false,true,3a5b72c0b5
6.542,196.45,false,true,3a5b72c0b5
7.554,238.81,false,true,3a5b72c0b5
8.567,295.70,false,true,3a5b72c0b5
9.574,270.78,false,true,3a5b72c0b5
10.584,347.62,false,true,3a5b72c0b5
11.593,400.92,false,true,3a5b72c0b5
12.605,340.86,false,true,3a5b72c0b5
13.612,323.00,false,true,3a5b72c0b5
14.622,424.75,false,true,3a5b72c0b5
