elapsed seconds,fps,loading,averaged,commit sha
0.035,0.00,true,false,8ece33b5d7
1.055,40.41,true,false,8ece33b5d7
2.482,40.41,true,false,8ece33b5d7
3.513,107.63,true,false,8ece33b5d7
4.538,243.17,true,false,8ece33b5d7
5.548,270.59,false,true,8ece33b5d7
6.555,288.80,false,true,8ece33b5d7
7.565,335.82,false,true,8ece33b5d7
8.577,326.64,false,true,8ece33b5d7
9.593,282.92,false,true,8ece33b5d7
10.603,340.73,false,true,8ece33b5d7
11.611,410.47,false,true,8ece33b5d7
12.621,334.73,false,true,8ece33b5d7
13.629,318.00,false,true,8ece33b5d7
14.635,409.75,false,true,8ece33b5d7
