elapsed seconds,fps,loading,averaged,commit sha
0.020,0.00,true,false,6cafaf13fd
1.053,0.00,true,false,6cafaf13fd
2.283,46.26,true,false,6cafaf13fd
3.324,132.99,true,false,6cafaf13fd
4.354,279.58,false,true,6cafaf13fd
5.370,280.44,false,true,6cafaf13fd
6.390,197.88,false,true,6cafaf13fd
7.404,237.79,false,true,6cafaf13fd
8.417,225.53,false,true,6cafaf13fd
9.432,208.19,false,true,6cafaf13fd
10.444,201.69,false,true,6cafaf13fd
11.464,252.94,false,true,6cafaf13fd
12.483,234.00,false,true,6cafaf13fd
13.493,315.43,false,true,6cafaf13fd
