elapsed seconds,fps,loading,averaged,commit sha
0.012,0.00,true,false,8f765940f3
1.035,53.95,true,false,8f765940f3
2.385,53.95,true,false,8f765940f3
3.408,118.81,true,false,8f765940f3
4.420,231.75,true,false,8f765940f3
5.428,284.91,false,true,8f765940f3
6.443,284.97,false,true,8f765940f3
7.459,358.21,false,true,8f765940f3
8.466,340.32,false,true,8f765940f3
9.482,272.75,false,true,8f765940f3
10.492,322.13,false,true,8f765940f3
11.501,414.34,false,true,8f765940f3
12.509,335.33,false,true,8f765940f3
13.515,327.44,false,true,8f765940f3
14.522,426.23,false,true,8f765940f3
